city,tmc_concentration_available,tmc_count,total_speed_deficit_burden,tmc_deficit_gini,top_1pct_tmc_deficit_share,top_5pct_tmc_deficit_share,top_10pct_tmc_deficit_share,tmc_mean_deficit_p90,high_deficit_tmc_share_mean_gt_0_2
New York,True,19202.0,7015955.128383885,0.42930197400959025,0.05121379021707601,0.1868513049894283,0.3070006865577689,0.17106101362693205,0.07072179981251953
Los Angeles,False,,,,,,,,
Chicago,True,12700.0,12757999.868512545,0.27644975684471684,0.026972967902350563,0.11194423017499444,0.2006479886141348,0.3759096248246845,0.5533858267716535
Houston,True,10483.0,1716451.315870835,0.4178275810393426,0.0459298948730203,0.17510097529693977,0.2945417888027484,0.08067612216666166,0.0012401030239435277
Phoenix,False,,,,,,,,
Philadelphia,True,12867.0,3123780.554976818,0.5498663796951759,0.06541346497885649,0.241765593060038,0.391394402478168,0.1372456496393252,0.04756353462345535
San Antonio,True,7490.0,1482822.443264774,0.5680850577363277,0.06996111561416857,0.2544222211693131,0.4114823689793596,0.11649868041397457,0.02897196261682243
San Diego,False,,,,,,,,
Dallas,True,17446.0,2807305.6873845346,0.4450609572994766,0.047548929730393506,0.18398473749770997,0.3101305757716868,0.08356668873468633,0.0013183537773701708
San Jose,False,,,,,,,,
Austin,True,4200.0,1062836.8965866943,0.5613203291033382,0.06481428186921102,0.24317327802389685,0.3989836255632581,0.1496519981630494,0.056428571428571425
