city,alignment_available,overlap_hours,overlap_start,overlap_end,rainfall_threshold_overlap,max_lag_corr,lag_0h_corr,lag_1h_corr,lag_2h_corr,lag_3h_corr,lag_6h_corr,lag_12h_corr,event_count,mean_event_deficit_impact,median_event_recovery_hours,events_with_recovery_observed
New York,True,744.0,2019-06-01 00:00:00,2019-07-01 23:00:00,0.00393701,0.14065232973627775,0.14065232973627775,0.10487821989604941,0.08724916507506664,0.05866050960719135,-0.026171075353141383,-0.04103923355354736,6.0,0.027149876565460588,2.5,2.0
Los Angeles,False,,,,,,,,,,,,,,,
Chicago,True,744.0,2019-07-01 00:00:00,2019-07-31 23:00:00,0.0,0.10415186251025538,0.10415186251025538,0.0906867642384478,0.057996762645654606,0.029202276805980514,-0.004983550421496233,-0.026595436549323285,6.0,0.07176019353641663,4.0,3.0
Houston,True,717.0,2019-04-01 00:00:00,2019-04-30 23:00:00,0.0,0.0667491968361065,0.017352752382840227,0.0040334146481510414,0.01053675263430573,0.02553950423269265,0.0667491968361065,-0.016410081082504864,6.0,0.016380632242821908,1.0,3.0
Phoenix,False,,,,,,,,,,,,,,,
Philadelphia,True,744.0,2023-07-01 00:00:00,2023-07-31 23:00:00,0.0,0.09555059522604925,0.09555059522604925,0.07757684280448592,0.051864640213489986,0.024669925219988426,-0.01478848838659433,-0.09395038085852206,6.0,0.01294714535594304,5.0,3.0
San Antonio,True,744.0,2024-07-01 00:00:00,2024-07-31 23:00:00,0.0,0.21349867976381667,0.21349867976381667,0.13417366477251821,0.04842618128238251,0.007974730983439265,-0.027283792633754606,-0.06987288646186554,6.0,0.016022210758293916,3.0,3.0
San Diego,False,,,,,,,,,,,,,,,
Dallas,True,717.0,2019-04-01 00:00:00,2019-04-30 23:00:00,0.0,0.031045851094520564,-0.0005531745509025298,-0.026548075965742095,-0.039250474976463036,-0.04949284072589049,-0.02759493942149912,0.031045851094520564,6.0,0.018022829910071713,2.0,3.0
San Jose,False,,,,,,,,,,,,,,,
Austin,True,744.0,2024-07-01 00:00:00,2024-07-31 23:00:00,0.0,0.14901966047313886,0.14901966047313886,0.10726826818700547,0.07493496390920396,0.043105094544394,-0.041570009110644957,-0.05137491229509256,6.0,0.017783419437064647,3.0,3.0
